"Time","T0010","","T0010","","T0010","","T0010","","T0010","","T0010","","T0010","","T0010","","T0010","","T0010",""
"and","10.00","","10.50","","400.00","","400.55","","400.56","","430.00","","500.00","","515.00","","550.00","","750.00",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)","","Umid.relat. aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Total","Qual"
00:00:00 01/05/2018,       170.0,      1,       170.0,      1,        15.5,      1,         6.4,      1,        29.7,      1,        85.5,    145,          23,    145,         0.5,    145,       954.9,      1,    462573.2,    145
00:00:00 01/06/2018,        76.6,      1,        76.6,      1,        20.2,      1,        11.0,      1,        33.5,      1,        70.9,    145,          44,    145,         0.7,    145,       954.5,      1,    730030.9,    145
00:00:00 01/07/2018,       122.6,      1,       117.9,      1,        21.8,      1,        13.4,      1,        35.4,      1,        71.9,    145,          49,    145,         0.7,    145,       954.8,      1,    769454.3,    145
00:00:00 01/08/2018,       157.4,      1,       156.8,      1,        21.5,      1,         8.3,      1,        34.5,      1,        74.9,    145,          42,    145,         0.5,    145,       956.9,      1,    594810.0,    145
00:00:00 01/09/2018,        46.2,      1,        52.6,      1,        17.8,      1,         4.4,      1,        29.8,      1,        77.5,    145,          26,    145,         0.4,    145,       960.0,      1,    455232.6,    145
00:00:00 01/10/2018,       375.4,      1,       384.3,      1,        12.8,      1,         3.2,      1,        27.8,      1,        84.1,    145,          20,    145,         0.5,    145,       957.8,      1,    229437.6,    145
00:00:00 01/11/2018,       131.6,      1,       121.6,      1,         7.3,      1,        -2.1,      1,        17.5,      1,        92.1,    145,           2,    145,         0.3,    145,       958.4,      1,    100941.0,    145
00:00:00 01/12/2018,         7.0,      1,         7.0,      1,         1.1,      1,        -6.5,      1,        13.7,      1,        78.0,    145,         340,    145,         0.5,    145,       960.6,      1,     78406.1,    145
00:00:00 01/01/2019,         6.0,      1,         8.0,      1,         1.2,      1,        -6.0,      1,        13.7,      1,        64.1,    145,         340,    145,         0.9,    145,       952.1,      1,    104916.2,    145
00:00:00 01/02/2019,        85.0,      1,        83.0,      1,         4.4,      1,        -4.0,      1,        21.4,      1,        68.6,    145,         332,    145,         0.7,    145,       962.1,      1,    195835.4,    145
00:00:00 01/03/2019,        14.2,      1,        14.2,      1,         8.5,      1,        -1.7,      1,        24.2,      1,        58.8,    145,         336,    145,         0.9,    145,       958.0,      1,    421759.7,    145
00:00:00 01/04/2019,       232.6,      1,       232.6,      1,        10.8,      1,         2.4,      1,        25.2,      1,        77.3,    145,          56,    145,         0.8,    145,       953.5,      1,    378782.7,    145
00:00:00 01/05/2019,       183.4,      1,       183.4,      1,        12.8,      1,         1.3,      1,        28.7,      1,        75.8,    145,          56,    145,         0.8,    145,       952.1,      1,    487378.0,    145
00:00:00 01/06/2019,        53.0,      1,        53.0,      1,        22.5,      1,        10.1,      1,        38.8,      1,        66.9,    145,          68,    145,         0.7,    145,       956.6,      1,    777851.8,    145
00:00:00 01/07/2019,       125.2,      1,       123.9,      1,        21.9,      1,        12.3,      1,        36.5,      1,        74.5,    145,          63,    145,         0.6,    145,       954.5,      1,    744798.6,    145
00:00:00 01/08/2019,       100.6,      1,       101.1,      1,        21.7,      1,        12.0,      1,        32.9,      1,        76.6,    145,          45,    145,         0.6,    145,       957.3,      1,    629435.7,    145
00:00:00 01/09/2019,        88.2,      1,        88.9,      1,        16.9,      1,         7.1,      1,        29.7,      1,        80.5,    145,          21,    145,         0.5,    145,       958.3,      1,    419838.2,    145
