"Time","T0009","","T0009","","T0009","","T0009","","T0009",""
"and","10.00","","10.50","","400.00","","400.55","","400.56",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual"
00:00:00 01/06/2020,       124.2,      1,       124.2,      1,        16.7,      1,         8.6,      1,        28.2,      1
00:00:00 01/07/2020,       121.8,      1,       121.8,      1,        19.2,      1,        10.9,      1,        32.9,      1
00:00:00 01/08/2020,       197.4,      1,       197.2,      1,        19.5,      1,        10.4,      1,        32.9,      1
00:00:00 01/09/2020,        31.4,      1,        31.6,      1,        15.7,      1,         4.2,      1,        25.7,      1
00:00:00 01/10/2020,       284.6,      1,       284.6,      1,         9.0,      1,         1.0,      1,        17.8,      1
00:00:00 01/11/2020,         6.2,      1,         6.2,      1,         6.1,      1,        -1.8,      1,        15.6,      1
00:00:00 01/12/2020,       368.4,      1,       368.5,      1,         1.2,      1,        -5.7,      1,         8.4,      1
00:00:00 01/01/2021,       164.4,      1,       164.3,      1,        -1.5,      1,        -9.4,      1,         8.3,    140
00:00:00 01/02/2021,        44.8,      1,        44.8,      1,         3.3,      1,        -8.7,      1,        16.5,      1
00:00:00 01/03/2021,        13.0,      1,        13.0,      1,         5.6,      1,        -4.5,      1,        23.1,      1
00:00:00 01/04/2021,        84.8,      1,        84.5,      1,         7.7,      1,        -2.9,      1,        23.1,    140
00:00:00 01/05/2021,       188.2,      1,       188.5,      1,        11.9,      1,         5.1,      1,        22.0,      1
00:00:00 01/06/2021,        28.2,      1,        27.7,      1,        19.3,      1,        10.4,      1,        28.9,      1
00:00:00 01/07/2021,       214.0,      1,       219.1,      1,        19.3,      1,        10.9,      1,        28.1,      1
00:00:00 01/08/2021,        67.8,      1,        63.2,      1,        18.4,      1,         8.8,      1,        29.8,      1
00:00:00 01/09/2021,         5.6,    140,         5.6,    140,        16.1,      1,         8.8,      1,        25.8,      1
00:00:00 01/10/2021,        27.2,    140,        27.4,    140,         9.7,      1,         2.4,      1,        20.4,      1
00:00:00 01/11/2021,       165.8,      1,       165.5,      1,         5.2,      1,        -4.0,      1,        14.6,      1
00:00:00 01/12/2021,        22.0,      1,        22.0,      1,         2.2,      1,        -4.8,      1,        15.8,      1
00:00:00 01/01/2022,        21.8,      1,        21.8,      1,         3.1,      1,        -5.0,      1,        16.8,      1
