"Time","T0014","","T0014","","T0014","","T0014","","T0014",""
"and","10.00","","10.50","","400.00","","400.55","","400.56",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual"
00:00:00 01/01/2016,        64.6,      1,        64.6,      1,        -0.8,      1,       -10.9,      1,        11.5,      1,Sites:
00:00:00 01/02/2016,       121.8,      1,       119.5,    145,         1.4,      1,        -4.5,      1,        11.0,      1,T0014 - Telve (Pontarso) Lat:46.115819 Long:11.49451 Elev:925
00:00:00 01/03/2016,        58.6,      1,        60.8,      1,         3.3,      1,        -3.3,      1,        16.3,      1,
00:00:00 01/04/2016,        68.6,      1,        72.8,      1,         8.7,      1,        -1.6,      1,        18.4,      1,Variables:
00:00:00 01/05/2016,       173.8,      1,       163.2,      1,        10.5,      1,         1.6,      1,        22.2,      1,10 - Pioggia (millimetri)
00:00:00 01/06/2016,       130.2,      1,       134.9,      1,        14.5,      1,         7.3,      1,        28.8,      1,400 - Temperatura aria (gradi Celsius)
00:00:00 01/07/2016,       166.8,      1,       166.2,      1,        17.4,      1,         7.7,      1,        27.1,      1,
00:00:00 01/08/2016,       132.0,      1,       134.3,      1,        16.0,      1,         6.2,      1,        26.0,      1,Qualities:
00:00:00 01/09/2016,        56.8,      1,        56.8,      1,        14.1,      1,         6.6,      1,        25.5,      1,1 - Dato buono
00:00:00 01/10/2016,       109.0,      1,       109.0,      1,         7.6,      1,        -1.2,      1,        17.4,      1,"140 - dato incerto, per analisi climatiche o malfunzionamento stazione"
00:00:00 01/11/2016,        99.0,      1,        99.0,      1,         3.5,      1,        -5.1,      1,        10.8,      1,"145 - da teletrasmissione, non validato"
00:00:00 01/12/2016,         0.0,      1,         0.0,      1,         1.6,      1,        -4.4,      1,        12.1,      1,151 - Dato mancante
00:00:00 01/01/2017,         5.8,      1,         5.3,      1,        -3.1,      1,       -12.0,      1,         7.2,      1,255 - No data
