"Time","T0065","","T0065","","T0065","","T0065","","T0065","","T0065","","T0065","","T0065",""
"and","10.00","","10.50","","400.00","","400.55","","400.56","","430.00","","500.00","","515.00",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)","","Umid.relat. aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual","Mean","Qual","Mean","Qual","Mean","Qual"
00:00:00 01/01/2019,         9.0,    140,        11.9,    140,       -10.2,      1,       -17.1,    140,         2.8,    140,        60.8,      1,         338,      1,         4.7,      1
00:00:00 01/02/2019,        65.8,      1,        62.9,      1,        -3.1,    140,       -13.8,    140,         9.3,    140,        44.4,      1,           9,      1,         3.2,      1
00:00:00 01/03/2019,        12.0,      1,        12.0,      1,        -4.4,      1,       -15.0,      1,         9.2,    140,        51.6,      1,         330,      1,         2.8,      1
00:00:00 01/04/2019,       123.2,      1,       123.2,      1,        -2.6,      1,       -12.9,      1,         9.7,    140,        79.2,      1,         334,      1,         1.8,      1
00:00:00 01/05/2019,        96.0,      1,        96.0,      1,        -1.0,      1,       -11.9,      1,        10.9,    140,        76.8,      1,         337,    140,         2.2,    140
00:00:00 01/06/2019,        98.2,      1,        97.5,      1,         8.7,      1,         0.0,      1,        22.2,    140,        64.6,      1,         348,      1,         1.1,      1
00:00:00 01/07/2019,"",    255,"",    151,         9.7,      1,        -0.1,      1,        20.7,      1,        67.0,      1,         320,    140,         1.3,    140
00:00:00 01/08/2019,"",    255,"",    151,"",    255,         2.4,    140,        17.2,      1,"",    255,"",    255,"",    255
00:00:00 01/09/2019,        88.4,      1,        89.8,      1,         6.0,      1,        -1.8,      1,        16.1,      1,        72.9,      1,         283,      1,         1.5,      1
00:00:00 01/10/2019,        58.8,      1,        58.8,      1,         3.2,      1,        -6.0,      1,        11.9,      1,        72.0,      1,         270,      1,         1.9,      1
00:00:00 01/11/2019,       220.0,      1,       220.0,      1,        -4.6,      1,       -11.5,      1,         3.4,    140,"",    255,         292,    140,         1.5,    140
00:00:00 01/12/2019,        44.4,    140,        44.4,    140,        -4.5,      1,       -15.3,    140,         4.2,    140,"",    255,         341,    140,         3.4,      1
00:00:00 01/01/2020,         4.0,      1,         4.0,      1,        -4.4,      1,       -16.8,      1,         5.1,    140,"",    255,          71,    140,         2.3,      1
00:00:00 01/02/2020,        14.8,      1,        15.5,      1,        -4.6,      1,       -14.9,    140,         6.2,    140,"",    255,         294,    140,         3.6,      1
00:00:00 01/03/2020,        54.2,      1,        53.4,      1,        -5.2,      1,       -17.5,      1,         7.9,    140,"",    255,         338,      1,         2.1,      1
00:00:00 01/04/2020,        20.4,      1,        15.7,      1,        -0.1,      1,       -17.5,      1,         9.3,    140,"",    255,          61,      1,         1.6,      1
00:00:00 01/05/2020,        84.8,      1,        89.4,      1,         2.7,      1,        -5.4,      1,        12.5,    140,"",    255,         289,      1,         2.4,      1
00:00:00 01/06/2020,       137.6,      1,       137.6,      1,         5.4,      1,        -0.8,      1,        16.7,      1,"",    255,         289,      1,         1.6,      1
00:00:00 01/07/2020,        94.2,      1,        93.4,      1,         9.1,      1,         2.1,      1,        20.5,    140,"",    255,         279,      1,         1.6,      1
00:00:00 01/08/2020,       137.6,      1,       137.9,      1,         9.2,    140,        -0.7,    140,        20.2,    140,"",    255,         277,      1,         1.6,      1
00:00:00 01/09/2020,       114.6,      1,       115.0,      1,         5.7,      1,        -5.9,      1,        15.5,      1,"",    255,         289,      1,         1.6,      1
00:00:00 01/10/2020,       100.0,      1,       100.0,      1,        -0.3,      1,        -8.2,      1,        11.2,    140,"",    255,         291,      1,         2.0,      1
00:00:00 01/11/2020,         7.6,      1,         7.6,      1,         0.3,      1,        -9.6,      1,        12.6,    140,"",    255,          78,      1,         1.5,      1
00:00:00 01/12/2020,       133.4,    140,       133.4,    140,        -6.4,    140,"",    151,"",    151,"",    255,          64,      1,         2.1,      1
00:00:00 01/01/2021,        38.6,    140,        38.6,    140,        -9.8,      1,       -19.0,      1,         0.0,    140,"",    255,         332,      1,         3.3,      1
00:00:00 01/02/2021,        35.8,      1,        35.8,      1,        -4.6,      1,       -21.2,    140,         8.0,    140,"",    255,          80,      1,         2.1,      1
00:00:00 01/03/2021,         2.8,      1,         2.8,      1,        -6.2,      1,       -17.4,    140,        10.0,    140,"",    255,         347,      1,         2.6,      1
00:00:00 01/04/2021,        25.2,      1,        25.2,      1,        -5.0,      1,       -17.5,      1,         7.7,    140,"",    255,         308,      1,         2.0,      1
00:00:00 01/05/2021,        73.8,      1,        73.8,      1,        -0.5,      1,        -9.1,      1,         9.7,    140,"",    255,         278,      1,         2.3,      1
00:00:00 01/06/2021,        48.8,      1,        47.0,      1,         7.7,      1,        -2.1,      1,        17.9,    140,"",    255,         319,      1,         1.6,      1
00:00:00 01/07/2021,       103.2,      1,       107.1,      1,         8.4,      1,         1.1,      1,        17.1,      1,"",    255,         284,      1,         1.9,      1
00:00:00 01/08/2021,       111.0,      1,       107.9,      1,         7.4,      1,        -0.4,      1,        19.0,      1,"",    255,         275,      1,         1.8,      1
00:00:00 01/09/2021,        47.0,      1,        47.9,      1,         6.2,      1,        -0.2,      1,        13.1,      1,"",    255,         274,      1,         1.2,      1
00:00:00 01/10/2021,        42.8,      1,        42.8,      1,         1.2,      1,        -6.7,      1,         9.4,      1,"",    255,         302,      1,         1.9,      1
00:00:00 01/11/2021,        71.6,      1,        71.6,      1,        -2.8,      1,       -15.7,      1,         7.9,    140,"",    255,          50,      1,         1.9,      1
00:00:00 01/12/2021,        14.4,      1,        14.5,      1,        -4.4,      1,       -16.2,    140,         8.7,    140,"",    255,         339,      1,         3.5,      1
00:00:00 01/01/2022,         8.0,    140,         8.0,    140,        -4.5,      1,       -15.3,    140,         8.7,      1,"",    255,         330,      1,         4.4,      1
00:00:00 01/02/2022,        29.6,    140,        29.5,    140,        -5.6,      1,       -16.9,    140,         6.0,      1,"",    255,         326,      1,         3.7,      1
00:00:00 01/03/2022,         9.8,      1,        11.4,      1,        -4.7,      1,       -16.9,      1,         6.4,    140,"",    255,          29,      1,         1.5,      1
00:00:00 01/04/2022,        64.8,      1,        62.7,      1,        -2.3,      1,       -15.1,      1,        10.8,    140,"",    255,         296,      1,         2.3,      1
00:00:00 01/05/2022,        68.4,      1,        68.8,      1,         4.5,      1,        -6.5,      1,        15.2,    140,"",    255,         283,      1,         1.5,      1
