"Time","T0066","","T0066","","T0066","","T0066","","T0066","","T0066",""
"and","10.00","","400.00","","430.00","","500.00","","515.00","","550.00",""
"Date","Pioggia (mm)","","Temp. aria (°C)","","Umid.relat. aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)",""
"","Total","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual"
00:00:00 01/09/2020,       100.6,    140,         3.4,      1,        82.6,    145,          38,    145,         2.1,    145,       719.7,    145
00:00:00 01/10/2020,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/11/2020,"",    255,"",    255,"",    255,"",    151,"",    151,"",    255
00:00:00 01/12/2020,        13.4,    140,        -8.1,      1,        73.1,    145,          11,    145,         2.5,    145,       705.4,    145
00:00:00 01/01/2021,        10.2,    140,       -11.6,      1,        71.5,    145,          99,    145,         3.8,    145,       703.3,    145
00:00:00 01/02/2021,        10.4,    140,        -5.5,      1,        54.1,    145,          21,    140,         0.9,    145,       713.1,    145
00:00:00 01/03/2021,         1.2,      1,        -7.9,      1,        56.8,    145,           1,    140,         0.0,    140,       713.1,    145
00:00:00 01/04/2021,        28.2,      1,        -7.0,      1,        68.7,    145,           1,    140,         0.0,    140,       711.2,    145
00:00:00 01/05/2021,        64.6,      1,        -2.8,      1,        75.5,    145,           1,    145,         0.0,    140,       712.7,    145
00:00:00 01/06/2021,        38.4,      1,         5.4,      1,        75.4,    145,         221,    145,         1.7,    145,       721.9,    145
00:00:00 01/07/2021,        97.6,      1,         5.7,      1,        81.4,    145,         299,    145,         2.7,    145,       720.4,    145
00:00:00 01/08/2021,       100.8,      1,         4.9,      1,        79.8,    145,         310,    145,         2.5,    145,       720.1,    145
00:00:00 01/09/2021,        48.6,      1,         3.9,      1,        80.1,    145,         265,    145,         1.5,    145,       721.8,    145
00:00:00 01/10/2021,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/11/2021,"",    255,"",    255,"",    255,"",    151,"",    151,"",    255
00:00:00 01/12/2021,"",    255,"",    255,"",    255,"",    151,"",    151,"",    255
00:00:00 01/01/2022,         1.6,    140,        -6.6,      1,        46.7,    145,          29,    145,         5.2,    145,       714.7,    145
00:00:00 01/02/2022,"",    151,"",    255,        51.9,    145,"",    151,"",    255,       712.7,    145
00:00:00 01/03/2022,         2.2,    140,        -6.3,      1,        52.7,    145,         155,    145,         1.8,    145,       715.5,    145
00:00:00 01/04/2022,        43.8,    140,        -4.2,      1,        68.4,    145,           3,    145,         3.0,    145,       709.9,    145
00:00:00 01/05/2022,        51.4,    140,         2.1,      1,        79.9,    145,         312,    145,         2.2,    145,       719.3,    145
00:00:00 01/06/2022,        85.2,      1,         6.5,      1,        73.7,    145,         322,    145,         2.8,    145,       721.8,    145
00:00:00 01/07/2022,        66.2,      1,"",    255,        70.8,    145,"",    151,"",    151,       724.7,    145
00:00:00 01/08/2022,        62.0,    140,"",    255,        78.7,    145,          19,    140,         1.9,    145,       721.8,    145
00:00:00 01/09/2022,        49.8,    140,"",    255,        79.9,    145,          19,    140,         2.5,    145,       715.9,    145
00:00:00 01/10/2022,        59.6,    140,"",    255,        70.8,    145,          18,    140,         2.0,    145,       723.1,    145
00:00:00 01/11/2022,        16.4,    140,"",    255,        67.8,    145,          19,    140,         2.8,    145,       712.8,    145
00:00:00 01/12/2022,        14.0,    140,"",    255,        68.6,    145,          18,    140,"",    151,       710.1,    145
00:00:00 01/01/2023,         4.4,    140,        -8.6,      1,        64.5,    145,          18,    140,         3.9,    145,       709.6,    145
00:00:00 01/02/2023,         4.6,    140,        -6.4,      1,        51.8,    145,          18,    140,         3.7,    145,       716.6,    145
00:00:00 01/03/2023,         6.0,    140,        -5.9,      1,        70.4,    145,          19,    140,         3.6,    145,       709.1,    145
00:00:00 01/04/2023,        14.6,    140,        -6.1,      1,        70.5,    145,          19,    140,         3.3,    145,       710.1,    145
00:00:00 01/05/2023,       129.0,    140,        -0.5,      1,        85.8,    145,          16,    140,         1.9,    145,       716.5,    145
00:00:00 01/06/2023,       102.4,    140,         4.6,      1,        78.4,    145,          15,    140,         1.8,    145,       720.2,    145
00:00:00 01/07/2023,       125.6,      1,         6.8,      1,        77.5,    145,          16,    140,         2.0,    145,       721.7,    145
