"Time","T0071","","T0071","","T0071","","T0071","","T0071","","T0071","","T0071","","T0071","","T0071","","T0071",""
"and","10.00","","10.50","","400.00","","400.55","","400.56","","430.00","","500.00","","515.00","","550.00","","750.00",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)","","Umid.relat. aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Total","Qual"
00:00:00 01/05/2018,       122.0,      1,       121.8,      1,        13.0,      1,         3.9,      1,        24.7,      1,        59.2,    145,         258,    145,         1.1,    145,       906.2,      1,    476167.3,      1
00:00:00 01/06/2018,        68.4,      1,        68.5,      1,        17.0,      1,         6.7,      1,        29.6,      1,        52.4,    145,         234,    145,         1.3,    145,       906.4,      1,    653831.3,      1
00:00:00 01/07/2018,       129.2,      1,       120.0,      1,        18.6,      1,        10.1,      1,        30.9,      1,        51.1,    145,         199,    145,         1.5,    145,       907.1,      1,    689943.4,      1
00:00:00 01/08/2018,       177.8,      1,       184.8,      1,        18.3,      1,         6.4,      1,        32.0,      1,        78.8,    145,         237,    145,         1.1,    145,       909.2,      1,    573845.2,      1
00:00:00 01/09/2018,        31.6,      1,        33.7,      1,        14.6,      1,         1.4,      1,        25.8,      1,        82.1,    145,         233,    145,         1.1,    145,       911.6,      1,    464983.4,      1
00:00:00 01/10/2018,       251.2,      1,       261.2,      1,         9.7,      1,        -1.1,      1,        25.3,    140,        84.7,    145,         350,    145,         1.0,    145,       908.9,      1,    266252.2,      1
00:00:00 01/11/2018,        81.6,      1,        71.6,      1,         4.0,      1,        -4.5,      1,        15.4,      1,        95.3,    145,         275,    145,         2.6,    145,       908.6,      1,    102803.9,      1
00:00:00 01/12/2018,         2.8,      1,         2.8,      1,        -1.4,      1,        -9.3,      1,         9.4,      1,        80.1,    145,         230,    145,         1.0,    145,       909.8,      1,     45296.0,      1
00:00:00 01/01/2019,         5.4,      1,         7.2,      1,        -3.2,      1,       -11.0,      1,        10.3,      1,        70.3,    145,         224,    145,         1.1,    145,       901.7,      1,     70688.8,      1
00:00:00 01/02/2019,        72.2,      1,        70.4,      1,        -0.1,      1,        -9.4,      1,        14.4,    140,        81.3,    145,         228,    145,         1.1,    145,       911.8,      1,    246944.9,      1
