"Time","T0027","","T0027","","T0027","","T0027","","T0027",""
"and","10.00","","10.50","","400.00","","400.55","","400.56",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual"
00:00:00 01/07/2020,       142.2,      1,       141.5,      1,        16.6,      1,         7.9,      1,        29.9,    140
00:00:00 01/08/2020,       281.4,      1,       274.6,      1,        16.8,      1,         8.6,      1,        29.9,      1
00:00:00 01/09/2020,        96.4,      1,       103.8,      1,        13.2,      1,         1.2,      1,        25.1,      1
00:00:00 01/10/2020,       468.4,      1,       468.4,      1,         6.7,      1,        -1.3,      1,        16.6,      1
00:00:00 01/11/2020,         6.0,      1,         6.0,      1,         2.6,      1,        -4.3,      1,        15.3,    140
00:00:00 01/12/2020,       644.2,      1,       644.2,      1,        -0.9,      1,        -9.4,      1,         6.5,      1
00:00:00 01/01/2021,       161.8,      1,       161.1,      1,        -4.3,      1,       -12.4,      1,         3.3,      1
00:00:00 01/02/2021,        65.8,      1,        66.5,      1,         0.1,      1,       -11.7,      1,        12.9,      1
00:00:00 01/03/2021,        12.8,      1,        12.8,      1,         2.2,      1,        -7.5,      1,        20.1,      1
00:00:00 01/04/2021,        92.8,      1,        90.8,      1,         4.8,      1,        -5.1,      1,        20.1,      1
00:00:00 01/05/2021,       225.4,      1,       227.3,      1,         9.0,      1,         0.8,      1,        20.8,      1
00:00:00 01/06/2021,        75.2,      1,        73.3,      1,        16.2,      1,         6.2,      1,        28.4,      1
00:00:00 01/07/2021,       151.0,    140,       151.8,    140,        16.4,      1,         7.7,      1,        26.4,    140
00:00:00 01/08/2021,       137.2,      1,       137.9,      1,        15.5,      1,         5.7,      1,        29.2,      1
00:00:00 01/09/2021,        75.0,      1,        75.4,      1,        13.6,      1,         6.9,      1,        24.6,      1
00:00:00 01/10/2021,       131.6,      1,       131.6,      1,         7.0,      1,        -1.3,      1,        18.2,      1
00:00:00 01/11/2021,       301.6,      1,       301.6,      1,         3.1,      1,        -7.8,      1,        12.9,      1
00:00:00 01/12/2021,        34.0,      1,        34.0,      1,        -1.6,      1,        -7.3,      1,         8.5,      1
00:00:00 01/01/2022,        31.4,      1,        31.4,      1,        -2.1,      1,        -8.4,      1,        14.0,    140
00:00:00 01/02/2022,        50.2,      1,        50.2,      1,         0.2,      1,        -8.2,      1,        13.1,      1
00:00:00 01/03/2022,         7.0,      1,        10.0,      1,         2.1,      1,        -7.2,      1,        17.6,    140
00:00:00 01/04/2022,        91.0,      1,        88.1,      1,         6.0,      1,        -3.3,      1,        19.6,      1
00:00:00 01/05/2022,       142.4,      1,       142.2,      1,        12.7,      1,         3.9,      1,        26.4,      1
00:00:00 01/06/2022,       116.6,      1,       116.5,      1,        16.7,      1,         7.2,      1,        26.6,      1
00:00:00 01/07/2022,       239.0,      1,       239.1,      1,        18.1,      1,         8.8,      1,        29.9,      1
00:00:00 01/08/2022,       192.4,      1,       190.4,      1,        16.6,      1,         7.7,      1,        29.3,      1
00:00:00 01/09/2022,        91.8,      1,        92.9,      1,        12.1,      1,         2.3,      1,        24.4,      1
00:00:00 01/10/2022,        46.0,      1,        46.9,      1,        10.4,      1,         5.4,      1,        21.0,      1
00:00:00 01/11/2022,       121.0,      1,       121.0,      1,         3.4,      1,        -2.9,      1,        14.4,      1
00:00:00 01/12/2022,       119.2,      1,       119.2,      1,        -0.9,      1,       -11.0,      1,         4.0,      1
00:00:00 01/01/2023,        52.4,      1,        52.4,      1,        -1.4,      1,        -8.5,      1,         8.8,    140
00:00:00 01/02/2023,         0.0,      1,         0.0,      1,         0.3,      1,       -11.0,      1,        12.5,      1
00:00:00 01/03/2023,        34.2,      1,        30.9,      1,         4.4,      1,        -3.5,      1,        17.3,      1
00:00:00 01/04/2023,        97.8,      1,       101.1,      1,         5.7,      1,        -4.3,      1,        19.2,      1
00:00:00 01/05/2023,       222.2,      1,       222.2,      1,        10.6,      1,         3.6,      1,        22.1,      1
00:00:00 01/06/2023,       145.2,      1,       144.4,      1,        15.1,      1,         7.5,      1,        29.7,      1
00:00:00 01/07/2023,       168.4,      1,       169.5,      1,        17.2,      1,         7.1,      1,        29.5,      1
00:00:00 01/08/2023,       317.2,      1,       316.9,      1,        17.1,      1,         6.2,      1,        30.2,      1
00:00:00 01/09/2023,        75.4,      1,        75.4,      1,        14.5,      1,         5.8,      1,        25.0,      1
00:00:00 01/10/2023,       311.2,      1,       309.5,      1,        10.7,      1,         1.3,      1,        23.8,      1
00:00:00 01/11/2023,       174.0,      1,       176.4,      1,         1.9,      1,        -4.3,      1,        12.5,      1
00:00:00 01/12/2023,       109.6,      1,       109.0,      1,         0.3,      1,        -6.8,      1,        12.3,      1
00:00:00 01/01/2024,        76.6,      1,        76.6,      1,        -1.3,      1,        -8.3,      1,        11.9,    140
00:00:00 01/02/2024,       209.6,      1,       211.3,      1,         2.7,      1,        -2.1,      1,        16.0,      1
00:00:00 01/03/2024,       292.4,      1,       317.5,      1,         4.3,      1,        -2.6,      1,        16.7,      1
00:00:00 01/04/2024,       131.6,      1,       104.8,      1,         7.7,      1,        -1.8,      1,        24.7,      1
00:00:00 01/05/2024,       495.4,      1,       486.2,      1,        10.3,      1,         3.7,      1,        19.5,      1
00:00:00 01/06/2024,       178.0,      1,       186.5,      1,        15.1,      1,         5.3,      1,        28.4,      1
00:00:00 01/07/2024,       190.2,      1,       188.4,      1,        18.2,      1,         8.5,      1,        30.3,      1
00:00:00 01/08/2024,       112.6,      1,       113.1,      1,        18.5,      1,        11.1,      1,        29.3,      1
00:00:00 01/09/2024,       265.4,      1,       267.4,      1,        12.0,      1,         3.1,      1,        25.8,      1
00:00:00 01/10/2024,       381.6,      1,       381.6,      1,         9.5,      1,         3.6,      1,        17.3,      1
00:00:00 01/11/2024,         4.0,      1,         4.0,      1,         2.1,      1,        -5.7,      1,        16.8,      1
