"Time","T0101","","T0101","","T0101","","T0101","","T0101",""
"and","10.00","","10.50","","400.00","","400.55","","400.56",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual"
00:00:00 01/06/2020,       107.6,      1,       107.6,      1,        20.2,      1,         9.7,      1,        33.1,      1
00:00:00 01/07/2020,        78.6,      1,        78.6,      1,        22.7,      1,        12.1,      1,        36.8,      1
00:00:00 01/08/2020,       169.4,      1,       169.2,      1,        22.6,      1,        12.9,      1,        36.8,      1
00:00:00 01/09/2020,        93.6,      1,        93.7,      1,        18.3,      1,         5.4,      1,        30.3,      1
00:00:00 01/10/2020,       188.4,      1,       188.4,      1,        11.3,      1,         1.3,      1,        21.3,      1
00:00:00 01/11/2020,         4.2,      1,         4.2,      1,         6.3,      1,        -4.3,    140,        19.9,      1
00:00:00 01/12/2020,       215.0,      1,       215.0,      1,         2.6,      1,        -8.3,      1,        10.2,      1
00:00:00 01/01/2021,       112.6,      1,       112.6,      1,        -0.9,    140,       -12.2,    140,         8.7,    140
00:00:00 01/02/2021,        39.2,      1,        39.2,      1,         5.1,      1,        -5.8,      1,        19.8,      1
00:00:00 01/03/2021,         1.2,      1,         1.2,      1,         8.6,      1,        -2.3,      1,        26.8,      1
00:00:00 01/04/2021,        64.0,      1,        62.8,      1,        11.5,      1,        -1.4,    140,        26.8,      1
00:00:00 01/05/2021,       145.2,      1,       146.3,      1,        15.4,      1,         5.3,      1,        26.8,      1
00:00:00 01/06/2021,        11.0,      1,        10.2,      1,        23.1,      1,        11.1,      1,        33.7,      1
00:00:00 01/07/2021,       138.6,      1,       133.5,      1,        22.5,      1,        13.2,      1,        33.6,      1
00:00:00 01/08/2021,        95.2,      1,       101.0,      1,        21.3,      1,         9.7,      1,        33.9,      1
00:00:00 01/09/2021,       118.8,      1,       118.8,      1,        19.1,      1,         9.4,      1,        30.4,      1
00:00:00 01/10/2021,        89.2,      1,        89.2,      1,        11.5,      1,         0.8,      1,        24.1,      1
00:00:00 01/11/2021,       153.2,      1,       153.2,      1,         6.6,      1,        -2.6,    140,        15.8,      1
00:00:00 01/12/2021,        11.6,      1,        11.6,      1,         1.7,      1,        -7.2,      1,        13.0,      1
00:00:00 01/01/2022,        24.6,      1,        24.6,      1,         2.4,      1,        -6.4,      1,        13.9,      1
