"Time","T0135","","T0135","","T0135","","T0135","","T0135","","T0135","","T0135","","T0135","","T0135","","T0135",""
"and","10.00","","10.50","","400.00","","400.55","","400.56","","430.00","","500.00","","515.00","","550.00","","750.00",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)","","Umid.relat. aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Total","Qual"
00:00:00 01/01/2016,        36.0,      1,        36.0,      1,         1.5,      1,        -8.7,      1,        13.5,    140,        75.0,      1,         341,    145,         1.1,    145,       989.8,      1,    187566.2,      1,Sites:
00:00:00 01/02/2016,       123.4,      1,       122.5,      1,         5.9,      1,        -2.5,      1,        16.5,      1,        74.8,      1,         335,    145,         1.4,    145,       986.5,      1,    213497.3,      1,T0135 - Trento (Roncafort) Lat:46.095645 Long:11.10137 Elev:194
00:00:00 01/03/2016,        57.8,      1,        58.7,      1,         9.4,      1,        -0.6,      1,        20.9,      1,        56.7,      1,         333,    145,         2.1,    145,       985.2,      1,    429958.8,      1,
00:00:00 01/04/2016,        30.0,      1,        34.0,      1,        14.3,      1,         1.3,      1,        23.7,      1,        59.6,      1,         305,    145,         2.5,    145,       984.7,      1,    506197.3,      1,Variables:
00:00:00 01/05/2016,       124.4,      1,       120.4,      1,        15.9,      1,         5.0,      1,        28.2,      1,        67.1,      1,         307,    145,         2.0,    145,       985.8,      1,    555987.8,      1,10 - Pioggia (millimetri)
00:00:00 01/06/2016,       133.6,      1,       132.7,      1,        20.6,    140,        12.6,      1,        34.0,      1,        68.8,      1,         304,    145,         2.0,    145,       986.6,      1,    641469.6,      1,400 - Temperatura aria (gradi Celsius)
00:00:00 01/07/2016,       108.8,      1,       102.6,      1,        23.2,      1,        12.2,      1,        34.2,      1,        65.3,      1,         319,    145,         2.3,    145,       989.2,      1,    677713.8,      1,430 - Umid.relativa aria (percentuale)
00:00:00 01/08/2016,        69.2,    140,        76.2,    140,        21.6,      1,        10.7,      1,        32.3,      1,        67.8,      1,         313,    145,         2.2,    145,       991.3,      1,    652681.6,      1,500 - Direzione vento media (gradi)
00:00:00 01/09/2016,"",    255,"",    151,"",    255,         8.9,      1,        31.8,      1,        68.6,      1,         324,    145,         1.7,    145,       991.1,      1,    428819.8,    140,515 - Veloc. vento media (metri/secondo)
