"Time","T0129","","T0129","","T0129","","T0129","","T0129","","T0129","","T0129","","T0129","","T0129","","T0129",""
"and","10.00","","10.50","","400.00","","400.55","","400.56","","430.00","","500.00","","515.00","","550.00","","750.00",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)","","Umid.relat. aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Total","Qual"
00:00:00 01/05/2018,       125.8,      1,       125.8,      1,        17.0,      1,         8.1,      1,        29.3,      1,        76.6,      1,          28,      1,         2.1,      1,       977.7,      1,    467503.5,      1
00:00:00 01/06/2018,        37.2,      1,        37.2,      1,        21.6,      1,        12.6,      1,        33.2,      1,        61.1,      1,          23,      1,         2.4,      1,       977.0,      1,    645666.3,      1
00:00:00 01/07/2018,       109.0,      1,       109.0,      1,        23.2,      1,        15.1,      1,        35.6,    140,        63.4,      1,         358,    140,         2.3,      1,       977.2,      1,    656529.9,      1
00:00:00 01/08/2018,       100.8,      1,        99.0,      1,        23.2,      1,        10.3,      1,        35.6,    140,        63.9,      1,           8,      1,         2.4,      1,       979.2,      1,    587518.4,      1
00:00:00 01/09/2018,        28.0,      1,        29.9,      1,        19.4,      1,         7.3,      1,        29.1,      1,        68.1,      1,          11,    140,         1.9,    140,       982.5,      1,    457559.8,      1
00:00:00 01/10/2018,       240.4,      1,       249.9,      1,        14.5,      1,         4.9,      1,        28.5,      1,        71.5,      1,           7,    140,         1.4,    140,       980.7,      1,    279288.9,      1
00:00:00 01/11/2018,       110.8,      1,       101.2,      1,         8.5,      1,        -0.2,      1,        17.6,      1,        85.9,      1,         358,      1,         1.5,      1,       981.7,      1,    130869.2,      1
00:00:00 01/12/2018,         4.8,      1,         4.8,      1,         3.1,      1,        -4.9,      1,        14.7,      1,        68.4,      1,           7,      1,         1.5,      1,       984.2,      1,    149117.1,      1
00:00:00 01/01/2019,"",    255,"",    151,"",    255,"",    151,"",    151,        56.8,      1,         359,      1,         1.9,      1,       975.6,      1,    166243.9,      1
00:00:00 01/02/2019,        77.4,      1,        75.7,      1,         6.0,      1,        -1.4,      1,        22.1,      1,        60.5,      1,         353,      1,         1.6,      1,       985.7,      1,    239181.6,      1
00:00:00 01/03/2019,        35.6,      1,        35.6,      1,        10.1,      1,         0.7,      1,        23.3,      1,        51.2,      1,           3,      1,         2.1,      1,       981.4,      1,    434794.4,      1
00:00:00 01/04/2019,       211.0,      1,       211.0,      1,        12.3,      1,         3.2,      1,        24.9,      1,        70.8,      1,         353,    140,         1.8,      1,       976.4,      1,    387696.3,      1
00:00:00 01/05/2019,       137.2,      1,       137.2,      1,        14.2,      1,         3.4,      1,        27.8,      1,        67.2,      1,         345,      1,         2.2,      1,       975.2,      1,    464690.7,      1
00:00:00 01/06/2019,        12.4,      1,        12.4,      1,        24.0,      1,        12.4,      1,        38.9,      1,        57.2,      1,          17,      1,         2.3,      1,       979.1,      1,    682949.7,      1
00:00:00 01/07/2019,       124.2,      1,       115.6,      1,        23.2,      1,        13.9,      1,        36.2,      1,        66.9,      1,         290,    140,         2.1,      1,       976.7,      1,    639937.8,      1
00:00:00 01/08/2019,        58.8,      1,        67.2,      1,        23.1,      1,        14.1,      1,        32.5,      1,        68.7,      1,          15,      1,         2.0,      1,       979.3,      1,    553272.0,      1
00:00:00 01/09/2019,        90.4,      1,        90.6,      1,        18.3,      1,         8.4,      1,        30.4,      1,        69.6,    140,           8,      1,         1.7,      1,       980.7,      1,    405946.6,      1
00:00:00 01/10/2019,        52.8,      1,        52.8,      1,        14.3,      1,         6.6,      1,        24.7,      1,"",    255,          15,      1,         1.5,      1,"",    255,"",    255
00:00:00 01/11/2019,       429.4,      1,       429.4,      1,         6.5,      1,         0.3,      1,        14.6,      1,        82.5,    140,         336,      1,         1.3,      1,       971.7,      1,    103327.7,      1
00:00:00 01/12/2019,        95.4,      1,        95.4,      1,         3.6,      1,        -2.5,      1,        11.8,      1,        78.3,      1,         357,      1,         1.3,      1,       980.0,      1,    117504.9,      1
00:00:00 01/01/2020,         1.0,      1,         1.0,      1,         3.6,      1,        -2.9,      1,        13.7,      1,        61.1,      1,           5,      1,         1.4,      1,       989.2,      1,    170044.7,      1
00:00:00 01/02/2020,         4.8,      1,         6.4,      1,         6.7,      1,        -1.0,      1,        17.2,      1,        55.7,      1,          11,      1,         1.7,      1,       982.0,      1,    232875.1,      1
00:00:00 01/03/2020,        78.8,      1,        77.2,      1,         8.1,      1,        -0.7,      1,        20.8,      1,        64.6,      1,         352,      1,         2.0,      1,       979.3,      1,    339785.4,      1
00:00:00 01/04/2020,        45.6,      1,        34.5,      1,        14.3,      1,         0.5,      1,        26.1,    140,        49.9,      1,           6,      1,         2.0,      1,       979.6,      1,    519257.2,      1
00:00:00 01/05/2020,        77.6,      1,        88.7,      1,        17.5,      1,         7.9,      1,        27.9,      1,        61.3,      1,           2,      1,         2.1,      1,       979.3,      1,    600694.8,      1
00:00:00 01/06/2020,       143.2,      1,       143.2,      1,        20.1,      1,        11.4,    140,        32.3,      1,        66.8,      1,          11,      1,         2.2,      1,       975.0,      1,    569952.4,      1
00:00:00 01/07/2020,        57.6,      1,        57.6,      1,        22.8,      1,        13.5,      1,        36.7,      1,        63.1,      1,          11,      1,         2.1,      1,       978.5,      1,    653074.8,      1
00:00:00 01/08/2020,       133.2,      1,       133.0,      1,        22.6,      1,        13.1,      1,        36.7,      1,        68.0,      1,           8,      1,         2.1,      1,       976.4,      1,    519785.7,      1
00:00:00 01/09/2020,        53.8,      1,        53.9,      1,        18.7,      1,         6.2,      1,        29.8,      1,        71.8,      1,          23,      1,         1.8,      1,       978.9,      1,    421328.5,      1
00:00:00 01/10/2020,       182.8,      1,       182.8,      1,        11.6,      1,         3.3,      1,        21.0,      1,        78.5,      1,           6,      1,         1.8,      1,       977.6,      1,    250731.0,      1
00:00:00 01/11/2020,         4.2,      1,         4.2,      1,         7.7,      1,        -1.7,    140,        18.6,      1,        73.1,      1,           4,      1,         1.3,      1,       987.6,      1,    219090.3,    140
00:00:00 01/12/2020,       213.2,      1,       213.2,      1,         2.8,      1,        -4.4,      1,         8.9,      1,        85.6,      1,         350,      1,         1.4,      1,       974.6,      1,     90889.8,      1
