"Time","T0059","","T0059",""
"and","10.00","","400.00",""
"Date","Pioggia (mm)","","Temp. aria (°C)",""
"","Total","Qual","Mean","Qual"
00:00:00 01/05/2024,       435.6,      1,         7.2,      1
00:00:00 01/06/2024,       183.4,      1,        12.4,      1
00:00:00 01/07/2024,       143.2,      1,        15.7,      1
00:00:00 01/08/2024,        87.0,      1,        16.3,      1
00:00:00 01/09/2024,       237.4,      1,         9.1,      1
00:00:00 01/10/2024,       320.2,      1,         7.0,      1
00:00:00 01/11/2024,         6.4,      1,         1.8,      1
00:00:00 01/12/2024,        23.2,      1,        -1.2,      1
00:00:00 01/01/2025,       105.6,      1,        -1.9,      1
00:00:00 01/02/2025,        30.4,      1,        -1.3,      1
00:00:00 01/03/2025,       105.2,    145,         1.2,    145
00:00:00 01/04/2025,       224.4,    145,         4.9,    145
00:00:00 01/05/2025,       156.6,    145,         7.7,    145
00:00:00 01/06/2025,"",    255,"",    255
00:00:00 01/07/2025,"",    255,"",    255
00:00:00 01/08/2025,       168.4,    145,        14.0,    145
00:00:00 01/09/2025,       172.0,    145,        10.1,    145
00:00:00 01/10/2025,        55.2,    145,         4.9,    145
00:00:00 01/11/2025,        90.8,    145,         0.3,    145
00:00:00 01/12/2025,        17.8,    145,         0.4,    145
00:00:00 01/01/2026,"",    255,"",    255
00:00:00 01/02/2026,"",    255,"",    255

