"Time","T0008","","T0008","","T0008","","T0008","","T0008","","T0008","","T0008",""
00:00:00 01/08/2019,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/09/2019,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/10/2019,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/11/2019,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/12/2019,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/01/2020,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/02/2020,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/03/2020,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/04/2020,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/05/2020,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/06/2020,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/07/2020,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/08/2020,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/09/2020,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/10/2020,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/11/2020,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/12/2020,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/01/2021,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/02/2021,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/03/2021,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/04/2021,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/05/2021,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/06/2021,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/07/2021,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/08/2021,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/09/2021,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/10/2021,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/11/2021,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/12/2021,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/01/2022,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/02/2022,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/03/2022,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/04/2022,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/05/2022,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/06/2022,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/07/2022,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/08/2022,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/09/2022,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/10/2022,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/11/2022,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/12/2022,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/01/2023,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/02/2023,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/03/2023,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/04/2023,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/05/2023,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/06/2023,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/07/2023,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/08/2023,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/09/2023,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/10/2023,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/11/2023,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/12/2023,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/01/2024,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/02/2024,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/03/2024,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/04/2024,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/05/2024,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/06/2024,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/07/2024,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/08/2024,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/09/2024,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/10/2024,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/11/2024,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/12/2024,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/01/2025,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/02/2025,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/03/2025,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/04/2025,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/05/2025,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/06/2025,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/07/2025,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/08/2025,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/09/2025,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/10/2025,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/11/2025,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/12/2025,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/01/2026,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/02/2026,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255

