"Time","T0008","","T0008","","T0008","","T0008","","T0008","","T0008","","T0008",""
"and","10.00","","400.00","","430.00","","500.00","","515.00","","550.00","","750.00",""
"Date","Pioggia (mm)","","Temp. aria (°C)","","Umid.relat. aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
"","Total","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Total","Qual"
00:00:00 01/01/2016,        40.4,    145,"",    255,"",    255,         126,    145,         1.3,    145,"",    255,  17230134.1,    145,Sites:
00:00:00 01/02/2016,        91.8,    145,"",    255,"",    255,         137,    145,         1.3,    145,"",    255,  20641373.3,    145,T0008 - Paneveggio (campo neve) Lat:46.30951731 Long:11.74750902 Elev:1540
00:00:00 01/03/2016,        66.6,    145,"",    255,"",    255,         134,    145,         1.4,    145,"",    255,  38825422.9,    145,
00:00:00 01/04/2016,        77.2,    145,"",    255,"",    255,         150,    145,         1.6,    145,"",    255,  45714972.5,    145,Variables:
00:00:00 01/05/2016,       116.2,    145,"",    255,"",    255,         144,    145,         1.5,    145,"",    255,  45789473.9,    145,10 - Pioggia (millimetri)
00:00:00 01/06/2016,       173.4,    145,"",    255,"",    255,         145,    145,         1.3,    145,"",    255,  47828800.3,    145,400 - Temperatura aria (gradi Celsius)
00:00:00 01/07/2016,       150.4,    145,"",    255,"",    255,         141,    145,         1.5,    145,"",    255,  55127808.7,    145,430 - Umid.relativa aria (percentuale)
00:00:00 01/08/2016,       163.4,    145,"",    255,"",    255,         145,    145,         1.5,    145,"",    255,  52773512.5,    145,500 - Direzione vento media (gradi)
00:00:00 01/09/2016,        91.4,    145,"",    255,"",    255,         142,    145,         1.3,    145,"",    255,  41254517.4,    145,515 - Veloc. vento media (metri/secondo)
00:00:00 01/10/2016,       105.2,    145,"",    255,"",    255,         135,    145,         1.1,    145,"",    255,  24927239.1,    145,550 - Pressione atmosferica (Ettopascal)
00:00:00 01/11/2016,        87.6,    145,"",    255,"",    255,         117,    145,         1.1,    145,"",    255,  14780156.4,    145,750 - Radiazione solare totale (KJoule/metroquadro)
00:00:00 01/12/2016,         0.0,    145,"",    255,"",    255,         113,    145,         1.4,    145,"",    255,  14719913.3,    145,
00:00:00 01/01/2017,         4.0,    145,"",    255,"",    255,         135,    145,         1.7,    145,"",    255,  18006200.8,    145,Qualities:
00:00:00 01/02/2017,        61.6,    145,"",    255,"",    255,         132,    145,         1.2,    145,"",    255,  21260231.2,    145,"145 - da teletrasmissione, non validato"
00:00:00 01/03/2017,        37.8,    145,"",    255,"",    255,         139,    145,         1.6,    145,"",    255,  42947214.0,    145,255 - No data
00:00:00 01/04/2017,       124.8,    145,"",    255,"",    255,         146,    145,         1.8,    145,"",    255,  47258995.1,    145
00:00:00 01/05/2017,        86.6,    145,"",    255,"",    255,         141,    145,         1.5,    145,"",    255,  51951742.7,    145
00:00:00 01/06/2017,       165.4,    145,"",    255,"",    255,         138,    145,         1.6,    145,"",    255,  57630048.0,    145
00:00:00 01/07/2017,       109.6,    145,"",    255,"",    255,         144,    145,         1.6,    145,"",    255,  51996024.8,    145
00:00:00 01/08/2017,       125.4,    145,"",    255,"",    255,         136,    145,         1.6,    145,"",    255,  43612300.9,    145
00:00:00 01/09/2017,       181.4,    145,"",    255,"",    255,         142,    145,         1.3,    145,"",    255,  32457620.4,    145
00:00:00 01/10/2017,        22.4,    145,"",    255,"",    255,         147,    145,         1.5,    145,"",    255,  32374781.8,    145
00:00:00 01/11/2017,       105.6,    145,"",    255,"",    255,         138,    145,         0.8,    145,"",    255,  16378254.9,    145
00:00:00 01/12/2017,       599.2,    145,"",    255,"",    255,         112,    145,         0.5,    145,"",    255,  12856938.4,    145
00:00:00 01/01/2018,        58.6,    145,"",    255,"",    255,         119,    145,         0.6,    145,"",    255,  15239198.7,    145
00:00:00 01/02/2018,        28.8,    145,"",    255,"",    255,         157,    145,         0.8,    145,"",    255,  19724254.4,    145
00:00:00 01/03/2018,       101.4,    145,"",    255,"",    255,         152,    145,         1.1,    145,"",    255,  32617970.5,    145
00:00:00 01/04/2018,       101.0,    145,"",    255,"",    255,         123,    145,         1.5,    145,"",    255,  50822371.4,    145
00:00:00 01/05/2018,       181.0,    145,"",    255,"",    255,         124,    145,         1.2,    145,"",    255,  40074422.2,    145
00:00:00 01/06/2018,       102.6,    145,"",    255,"",    255,         145,    145,         1.5,    145,"",    255,  54101413.7,    145
00:00:00 01/07/2018,       169.8,    145,"",    255,"",    255,         144,    145,         1.4,    145,"",    255,  57073565.6,    145
00:00:00 01/08/2018,       200.8,    145,"",    255,"",    255,         130,    145,         1.2,    145,"",    255,  37609969.9,    145
00:00:00 01/09/2018,        59.6,    145,"",    255,"",    255,         139,    145,         1.2,    145,"",    255,  45179929.5,    145
00:00:00 01/10/2018,       408.4,    145,"",    255,"",    255,         129,    145,         1.4,    145,"",    255,  27739812.7,    145
00:00:00 01/11/2018,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/12/2018,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/01/2019,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/02/2019,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/03/2019,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/04/2019,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/05/2019,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/06/2019,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/07/2019,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
