"Time","T0030","","T0030","","T0030","","T0030","","T0030",""
"and","10.00","","10.50","","400.00","","400.55","","400.56",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual"
00:00:00 01/06/2020,       169.4,      1,       169.4,      1,        15.9,      1,         7.5,      1,        27.8,      1
00:00:00 01/07/2020,       117.2,      1,       111.5,      1,        18.5,      1,         9.5,      1,        31.6,      1
00:00:00 01/08/2020,       229.4,      1,       232.2,      1,        18.6,      1,        10.0,      1,        31.5,      1
00:00:00 01/09/2020,        97.6,      1,       100.5,      1,        15.1,      1,         2.7,      1,        25.7,      1
00:00:00 01/10/2020,       285.4,      1,       285.4,      1,         8.4,      1,         0.4,      1,        18.8,      1
00:00:00 01/11/2020,         4.0,      1,         4.0,      1,         4.8,      1,        -3.5,      1,        16.4,      1
00:00:00 01/12/2020,       395.8,      1,       395.8,      1,         0.6,      1,        -7.2,      1,         9.2,      1
00:00:00 01/01/2021,       171.0,    140,       171.0,    140,        -2.4,      1,       -10.1,      1,         7.2,      1
00:00:00 01/02/2021,        57.6,      1,        57.6,      1,         1.9,      1,        -9.0,      1,        15.9,      1
00:00:00 01/03/2021,         5.0,      1,         5.0,      1,         4.7,      1,        -5.8,      1,        23.0,      1
00:00:00 01/04/2021,        96.6,      1,        96.3,      1,         7.0,      1,        -3.1,      1,        23.0,      1
00:00:00 01/05/2021,       188.6,      1,       188.9,      1,        11.0,      1,         2.8,      1,        22.4,      1
00:00:00 01/06/2021,        68.4,      1,        66.7,      1,        18.3,      1,         8.7,      1,        29.8,      1
00:00:00 01/07/2021,       190.6,      1,       192.6,      1,        18.5,      1,         9.2,      1,        28.5,      1
00:00:00 01/08/2021,       187.6,      1,       184.1,      1,        17.5,      1,         7.2,      1,        30.7,      1
00:00:00 01/09/2021,        90.4,      1,        93.5,      1,        15.3,      1,         8.1,      1,        26.0,      1
00:00:00 01/10/2021,        75.6,      1,        75.6,      1,         8.7,      1,         0.4,      1,        19.3,      1
00:00:00 01/11/2021,       199.6,      1,       199.6,      1,         4.9,      1,        -4.1,      1,        14.6,      1
00:00:00 01/12/2021,        32.2,      1,        32.2,      1,         0.2,      1,        -5.8,      1,        10.8,    140
00:00:00 01/01/2022,        17.4,      1,        17.4,      1,         1.2,      1,        -5.2,      1,        16.2,      1
00:00:00 01/02/2022,        34.4,      1,        34.4,      1,         2.7,      1,        -4.8,      1,        13.4,      1
00:00:00 01/03/2022,         5.8,      1,        10.6,      1,         4.5,      1,        -4.8,      1,        19.7,      1
00:00:00 01/04/2022,        77.6,      1,        73.1,      1,         8.2,      1,        -1.1,      1,        22.0,      1
00:00:00 01/05/2022,       142.0,      1,       141.7,      1,        14.7,      1,         5.5,      1,        26.3,    140
00:00:00 01/06/2022,       103.2,      1,       103.2,      1,        18.9,      1,         8.6,      1,        29.5,      1
00:00:00 01/07/2022,       135.4,      1,       135.4,      1,        20.7,      1,        10.8,      1,        33.0,      1
00:00:00 01/08/2022,       153.6,      1,       153.1,      1,        18.9,      1,         9.3,      1,        30.9,    140
00:00:00 01/09/2022,        85.2,      1,        84.9,      1,        13.9,      1,         3.8,      1,        26.4,      1
00:00:00 01/10/2022,        70.0,      1,        70.8,      1,        12.5,      1,         6.8,      1,        22.9,      1
00:00:00 01/11/2022,        95.8,      1,        95.8,      1,         5.4,      1,        -1.6,      1,        15.0,      1
00:00:00 01/12/2022,       101.4,      1,       101.4,      1,         0.8,      1,        -7.8,      1,         7.8,      1
00:00:00 01/01/2023,        54.6,      1,        54.6,      1,         1.0,      1,        -5.4,      1,        12.5,      1
00:00:00 01/02/2023,         0.0,      1,         0.0,      1,         3.0,      1,        -8.2,      1,        15.0,      1
00:00:00 01/03/2023,        41.8,      1,        39.2,      1,         6.6,      1,        -2.0,      1,        18.6,      1
00:00:00 01/04/2023,        71.4,      1,        74.2,      1,         7.9,      1,        -2.7,      1,        20.1,    140
00:00:00 01/05/2023,       228.6,      1,       228.4,      1,        12.7,      1,         5.7,      1,        24.6,      1
00:00:00 01/06/2023,       128.4,      1,       128.1,      1,        17.4,      1,         9.5,      1,        29.4,      1
00:00:00 01/07/2023,       133.2,      1,       133.8,      1,        19.2,      1,         8.7,      1,        30.9,      1
00:00:00 01/08/2023,       106.2,      1,       105.9,      1,        19.4,      1,         8.1,      1,        32.6,      1
00:00:00 01/09/2023,        77.4,      1,        77.4,      1,        16.5,      1,         7.4,      1,        27.0,      1
00:00:00 01/10/2023,       286.4,      1,       286.0,      1,        12.5,      1,         2.5,      1,        28.4,      1
00:00:00 01/11/2023,       153.6,      1,       160.3,      1,         3.7,      1,        -3.2,      1,        15.4,      1
00:00:00 01/12/2023,       108.4,      1,        98.6,      1,         2.3,      1,        -5.2,      1,        16.7,      1
00:00:00 01/01/2024,        78.4,      1,        81.9,      1,         0.8,      1,        -6.3,      1,        15.0,      1
00:00:00 01/02/2024,       188.0,      1,       189.9,      1,         5.0,      1,        -0.6,      1,        16.2,      1
00:00:00 01/03/2024,       184.0,      1,       208.8,      1,         6.4,      1,        -1.0,      1,        17.9,      1
00:00:00 01/04/2024,       108.6,      1,        81.9,      1,         9.8,      1,        -0.4,      1,        25.8,      1
00:00:00 01/05/2024,       275.2,      1,       265.6,      1,        12.4,      1,         5.4,      1,        22.2,      1
00:00:00 01/06/2024,       239.0,      1,       248.6,      1,        17.1,      1,         7.0,      1,        28.6,      1
00:00:00 01/07/2024,       130.4,      1,       129.9,      1,        20.2,      1,         9.3,      1,        30.8,      1
00:00:00 01/08/2024,        59.8,      1,        60.3,      1,        20.7,      1,        12.6,      1,        31.5,      1
00:00:00 01/09/2024,       236.6,      1,       236.6,      1,        14.4,      1,         5.1,      1,        29.2,      1
00:00:00 01/10/2024,       303.0,      1,       303.0,      1,        11.2,      1,         4.7,      1,        19.1,      1
