"Time","T0177","","T0177","","T0177","","T0177","","T0177",""
"and","10.00","","10.50","","400.00","","400.55","","400.56",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual"
00:00:00 01/06/2020,       156.0,      1,       156.0,      1,        12.6,      1,         3.9,      1,        24.8,    140
00:00:00 01/07/2020,       115.2,      1,       115.2,      1,        15.5,      1,         7.3,      1,        29.1,    140
00:00:00 01/08/2020,       291.8,      1,       291.8,      1,        15.5,      1,         6.2,      1,        29.1,      1
00:00:00 01/09/2020,       119.4,      1,       119.4,      1,        12.0,      1,        -0.3,      1,        23.8,      1
00:00:00 01/10/2020,       334.8,      1,       334.8,      1,         5.9,      1,        -2.3,      1,        14.6,      1
00:00:00 01/11/2020,         8.0,      1,         8.0,      1,         2.2,      1,        -5.4,      1,        14.6,      1
00:00:00 01/12/2020,       274.8,      1,       274.8,      1,        -1.6,      1,       -10.4,      1,         5.2,    140
00:00:00 01/01/2021,       131.0,      1,       131.0,      1,        -4.5,      1,       -14.0,      1,         5.2,      1
00:00:00 01/02/2021,        66.4,      1,        66.4,      1,        -0.1,      1,       -13.6,      1,        12.7,    140
00:00:00 01/03/2021,         5.0,      1,         5.0,      1,         1.3,      1,        -8.6,      1,        19.0,      1
00:00:00 01/04/2021,        71.0,      1,        70.5,      1,         3.6,      1,        -6.9,      1,        19.0,      1
00:00:00 01/05/2021,       176.2,      1,       176.7,      1,         8.1,      1,        -0.1,      1,        18.4,      1
00:00:00 01/06/2021,        61.4,      1,        61.1,      1,        14.6,      1,         5.6,      1,        26.0,      1
00:00:00 01/07/2021,       146.6,      1,       146.6,      1,        15.3,      1,         7.0,      1,        25.5,      1
00:00:00 01/08/2021,       130.8,      1,       127.2,      1,        14.2,      1,         5.0,      1,        27.6,      1
00:00:00 01/09/2021,        85.2,      1,        89.1,      1,        12.3,      1,         4.1,      1,        22.3,    140
00:00:00 01/10/2021,        92.6,      1,        92.7,      1,         5.9,      1,        -1.6,      1,        15.8,      1
00:00:00 01/11/2021,       180.4,      1,       180.3,      1,         2.2,      1,       -10.4,      1,        12.7,    140
00:00:00 01/12/2021,        25.4,      1,        25.4,      1,        -2.0,      1,        -9.6,      1,         7.6,      1
00:00:00 01/01/2022,        18.2,      1,        18.2,      1,        -2.1,      1,        -9.0,      1,         8.5,    140
00:00:00 01/02/2022,        38.6,      1,        38.7,      1,        -0.4,      1,        -8.0,      1,        10.5,    140
00:00:00 01/03/2022,         9.0,      1,        12.8,      1,         1.4,      1,        -8.2,      1,        16.9,      1
