Time,T0179,,T0179,,T0179,,T0179,,T0179,,T0179,,T0179,,T0179,,T0179,,T0179,,
and,10,,10.5,,400,,400.55,,400.56,,430,,500,,515,,550,,750,,
Date,Pioggia (mm),,Pioggia (mm),,Temp. aria (�C),,Temp. aria (�C),,Temp. aria (�C),,Umid.relat. aria (%),,Dir. Vento (�),,Vel. Vento (m/s),,Pressione atm. (hPa),,Rad.Sol.Tot. (kJ/m2),,
,Total,Qual,Total,Qual,Mean,Qual,Min,Qual,Max,Qual,Mean,Qual,Mean,Qual,Mean,Qual,Mean,Qual,Total,Qual,
00:00:00 01/02/2019,89.8,1,88.2,1,1.9,1,-6.8,1,20,1,82,145,327,1,0.9,1,959.5,1,214033.1,1,
00:00:00 01/03/2019,43,1,43,1,6.7,1,-3.4,1,23,1,66.1,145,358,1,1.4,1,955.6,1,401318.1,1,
00:00:00 01/04/2019,241.2,1,241.2,1,9.8,1,1.2,1,22.9,1,79.2,145,21,1,1.1,1,951,1,344549.3,1,
00:00:00 01/05/2019,153,1,153,1,11.6,1,-0.6,1,26.1,1,80.5,145,31,1,1.1,1,949.8,1,405642.8,1,
00:00:00 01/06/2019,28.8,1,28.8,1,20.5,1,-0.8,140,37.8,1,60.4,145,5,1,1.1,1,955.1,1,677089.6,1,
00:00:00 01/07/2019,163.4,1,149.9,1,20.4,1,8.8,1,33.6,1,63.2,145,12,1,1,1,952.9,1,623559.2,1,
00:00:00 01/08/2019,66,1,78.9,1,20.2,1,10.3,1,30.7,1,80.7,145,7,1,0.8,1,955.6,1,535436.5,1,
00:00:00 01/09/2019,117.4,1,118,1,15.7,1,5.7,1,27.6,1,84.4,145,4,1,0.8,1,956.4,1,373227.6,1,
00:00:00 01/10/2019,,255,,151,,255,3.6,1,,151,,255,,255,,255,,255,,255,
00:00:00 01/11/2019,475.4,1,475.4,1,5.1,1,-1.5,1,13.7,1,97.8,145,357,1,0.3,1,946,1,74747.4,1,
00:00:00 01/12/2019,134,1,134,1,0.5,1,-6.3,1,9,1,96.9,145,351,1,0.3,1,954,1,75169.5,1,
00:00:00 01/01/2020,4.4,1,4.4,1,-0.3,1,-7,1,12.2,1,89.7,145,342,1,0.4,1,962.8,1,127062,1,
00:00:00 01/02/2020,3,1,5.2,1,3.8,1,-5.1,1,20.5,1,70.1,145,1,1,0.9,1,956,1,219585.7,1,
00:00:00 01/03/2020,123.6,140,121.4,140,5.7,1,-3.8,1,19.9,1,78.5,145,17,1,0.9,1,953.5,1,286435.7,1,
