"Time","T0175","","T0175","","T0175","","T0175","","T0175","","T0175","","T0175","","T0175","","T0175","","T0175",""
"and","10.00","","10.50","","400.00","","400.55","","400.56","","430.00","","500.00","","515.00","","550.00","","750.00",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)","","Umid.relat. aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Total","Qual"
00:00:00 01/05/2018,       171.0,      1,       171.0,      1,        13.6,      1,         3.9,      1,        26.3,      1,        84.2,    145,         317,    145,         0.9,    145,       921.4,      1,    360882.7,      1
00:00:00 01/06/2018,        54.6,      1,        54.6,      1,        17.6,      1,"",    151,"",    151,        75.0,    145,         306,    145,         1.2,    145,       921.4,      1,    519105.9,      1
00:00:00 01/07/2018,       104.2,      1,       102.2,      1,        18.9,      1,        10.1,      1,        32.1,      1,        77.6,    145,         321,    145,         1.1,    145,       922.0,      1,    495993.4,      1
00:00:00 01/08/2018,       156.8,      1,       155.8,      1,        19.1,      1,"",    151,"",    151,        78.3,    145,         313,    145,         0.9,    145,       923.8,      1,    404934.6,      1
00:00:00 01/09/2018,"",    255,"",    151,"",    255,"",    151,"",    151,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/10/2018,       301.8,      1,       312.8,      1,        10.5,      1,         0.4,      1,        26.2,      1,        85.2,    145,         326,    145,         0.7,    145,       923.7,      1,    170254.6,      1
00:00:00 01/11/2018,       110.0,      1,        98.9,      1,         5.2,      1,        -4.0,      1,        15.3,      1,        93.9,    145,         331,    145,         0.5,    145,       923.8,      1,     63869.9,      1
00:00:00 01/12/2018,         5.2,      1,         5.2,      1,        -0.3,      1,        -8.9,      1,        14.0,      1,        80.0,    145,         320,    145,         0.9,    145,       925.4,      1,     54871.3,      1
00:00:00 01/01/2019,         9.6,      1,        12.9,      1,        -1.7,      1,        -9.0,      1,        10.6,      1,        69.9,    145,         322,    145,         1.0,    145,       917.1,      1,     74588.1,      1
00:00:00 01/02/2019,       112.4,      1,       109.1,      1,         0.6,      1,        -8.2,      1,        16.2,    140,        80.6,    145,         326,    145,         0.9,    145,       927.2,      1,    163233.5,      1
00:00:00 01/03/2019,        38.6,      1,        38.6,      1,         5.5,      1,        -3.9,      1,        22.4,      1,        63.8,    145,         317,    145,         1.4,    145,       923.3,      1,    319906.5,      1
00:00:00 01/04/2019,       222.2,      1,       222.2,      1,         8.7,      1,         0.3,      1,        21.8,    140,        77.3,    145,         305,    145,         1.2,    145,       918.9,      1,    299203.4,      1
00:00:00 01/05/2019,       122.0,      1,       122.0,      1,        10.6,      1,        -0.8,      1,        25.6,      1,        76.7,    145,         335,    145,         1.4,    145,       917.8,      1,    350033.2,      1
00:00:00 01/06/2019,        54.2,      1,        54.2,      1,        19.2,    140,        -0.7,    140,        36.1,      1,        62.4,    145,         278,    145,         1.4,    145,       923.2,      1,    567034.2,      1
00:00:00 01/07/2019,       116.4,      1,       115.5,      1,        19.1,      1,         7.6,      1,        32.0,      1,        66.7,    145,         261,    145,         1.3,    145,       921.0,      1,    501271.7,      1
00:00:00 01/08/2019,        90.2,      1,        89.1,      1,        18.6,      1,         8.9,      1,        29.3,      1,        82.9,    145,         286,    145,         1.0,    145,       923.7,      1,    376558.0,      1
00:00:00 01/09/2019,       101.6,      1,       103.6,      1,        14.1,      1,         4.0,      1,        26.0,      1,        86.3,    145,         290,    145,         0.9,    145,       924.3,      1,    263719.3,      1
00:00:00 01/10/2019,       101.0,      1,       100.9,      1,        10.8,      1,         1.8,      1,        19.7,      1,        92.2,    145,         300,    145,         0.7,    145,       923.3,      1,    165837.1,      1
00:00:00 01/11/2019,       436.2,      1,       436.3,      1,         3.6,      1,        -3.9,      1,        12.7,      1,        98.6,    145,         299,    145,         0.6,    145,       913.9,      1,     61064.9,      1
00:00:00 01/12/2019,       130.8,      1,       130.8,      1,         0.3,      1,        -7.9,      1,         9.4,      1,        93.2,    145,         299,    145,         0.7,    145,       921.5,      1,     72484.3,      1
00:00:00 01/01/2020,         7.4,      1,         7.4,      1,        -0.2,      1,        -7.4,      1,         9.9,      1,        81.9,    145,         300,    145,         0.9,    145,       930.1,      1,    119212.1,      1
00:00:00 01/02/2020,         2.4,      1,         5.5,      1,         3.1,      1,        -5.4,      1,        18.4,      1,        66.7,    145,         300,    145,         1.3,    145,       923.4,      1,    174890.8,      1
00:00:00 01/03/2020,       123.0,      1,       119.9,      1,         4.2,      1,        -5.2,      1,        18.8,      1,        80.3,    145,         292,    145,         1.0,    145,       920.8,      1,    235721.8,      1
00:00:00 01/04/2020,        38.2,      1,        29.1,      1,        10.1,      1,        -3.0,      1,        24.2,      1,        66.2,    145,         279,    145,         1.3,    145,       922.0,      1,    408432.8,      1
00:00:00 01/05/2020,       105.4,      1,       114.5,      1,        13.5,      1,         2.5,      1,        24.5,    140,        75.8,    145,         221,    145,         1.4,    145,       922.2,      1,    471494.7,      1
00:00:00 01/06/2020,       123.4,      1,       123.4,      1,        16.0,      1,         6.1,      1,        28.7,      1,        79.6,    145,         266,    145,         1.3,    145,       918.6,      1,    435120.0,      1
00:00:00 01/07/2020,        71.6,      1,        69.3,      1,        18.7,      1,         8.9,      1,        32.7,      1,        78.4,    145,         204,    145,         1.3,    145,       922.3,      1,    508992.6,      1
00:00:00 01/08/2020,"",    255,"",    151,"",    255,"",    151,"",    151,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/09/2020,"",    255,"",    151,"",    255,"",    151,"",    151,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/10/2020,       257.2,      1,       257.2,      1,         7.8,      1,"",    151,"",    151,        91.3,    145,         296,    145,         0.7,    145,       920.1,      1,    155231.2,      1
00:00:00 01/11/2020,"",    255,"",    151,"",    255,"",    151,"",    151,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/12/2020,       274.2,      1,       274.2,      1,        -0.7,      1,       -11.9,      1,         7.7,    140,        95.8,    145,         308,    145,         0.7,    145,       916.2,      1,     44964.5,      1
00:00:00 01/01/2021,"",    255,"",    151,"",    255,"",    151,"",    151,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/02/2021,        54.4,      1,        54.4,      1,         0.8,      1,       -12.7,      1,        15.5,    140,        86.9,    145,         302,    145,         0.9,    145,       924.2,      1,    161758.0,      1
00:00:00 01/03/2021,         1.0,      1,         1.0,      1,         4.1,      1,        -5.2,      1,        23.8,      1,        66.4,    145,         295,    145,         1.2,    145,       924.0,      1,    318486.4,      1
00:00:00 01/04/2021,        51.0,      1,        50.8,      1,         7.0,      1,        -5.5,      1,        23.8,      1,        67.1,    145,         286,    145,         1.3,    145,       920.4,      1,    351533.6,      1
00:00:00 01/05/2021,       142.4,      1,       142.5,      1,        11.2,      1,         1.3,      1,        22.3,      1,        76.1,    145,         264,    145,         1.4,    145,       918.4,      1,    433685.5,      1
00:00:00 01/06/2021,        34.4,      1,        33.5,      1,        18.5,      1,         7.6,      1,        30.7,    140,        71.8,    145,         284,    145,         1.4,    145,       922.7,      1,    515927.1,      1
00:00:00 01/07/2021,       119.8,      1,       119.8,      1,        18.5,      1,         8.8,      1,        29.3,      1,        79.6,    145,         352,    145,         1.1,    145,       920.4,      1,    444011.7,      1
00:00:00 01/08/2021,        36.8,      1,        37.5,      1,        17.3,      1,         6.8,      1,        31.1,      1,        80.8,    145,         350,    145,         0.9,    145,       920.8,      1,    385780.1,      1
00:00:00 01/09/2021,        72.8,      1,        72.9,      1,        15.4,      1,         5.6,      1,        26.6,      1,        82.4,    145,         344,    145,         0.8,    145,       924.4,      1,    297634.7,      1
00:00:00 01/10/2021,        82.8,      1,        82.8,      1,         8.1,      1,        -1.3,      1,        19.8,      1,        87.1,    145,         320,    145,         0.7,    145,       925.0,      1,    181458.3,      1
00:00:00 01/11/2021,       149.4,      1,       149.4,      1,         3.8,      1,        -9.1,      1,        15.1,      1,        94.7,    145,         320,    145,         0.6,    145,       919.6,      1,     84135.6,      1
00:00:00 01/12/2021,        15.8,      1,        15.8,      1,        -1.0,      1,        -9.5,      1,        11.7,    140,        90.4,    145,         322,    145,         0.6,    145,       923.5,    140,     79173.0,      1
00:00:00 01/01/2022,        17.0,      1,        17.0,      1,        -0.3,      1,        -7.7,      1,        11.7,    140,        73.9,    145,         311,    145,         1.0,    145,       933.4,      1,    121238.7,      1
00:00:00 01/02/2022,        31.2,      1,        31.2,      1,         1.6,      1,        -6.4,      1,        13.9,      1,        70.7,    145,         315,    145,         1.0,    145,       930.9,      1,    166118.6,      1
