"Time","T0354","","T0354","","T0354","","T0354","","T0354","","T0354","","T0354","","T0354","","T0354","","T0354",""
"and","10.00","","10.50","","400.00","","400.55","","400.56","","430.00","","500.00","","515.00","","550.00","","750.00",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)","","Umid.relat. aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Total","Qual"
00:00:00 01/01/2016,       109.0,      1,       109.0,      1,        -1.1,      1,       -12.9,      1,        14.5,      1,        65.8,      1,          99,      1,         1.3,      1,       834.2,      1,    172345.2,      1,Sites:
00:00:00 01/02/2016,       237.4,      1,       234.3,      1,        -0.1,      1,        -9.5,    140,        14.6,      1,        80.8,      1,         113,      1,         1.5,      1,       832.4,      1,    182525.2,      1,T0354 - Tremalzo Lat:45.841658 Long:10.684142 Elev:1560
00:00:00 01/03/2016,       109.0,      1,       112.0,      1,         0.1,      1,        -9.6,      1,        11.7,      1,        77.4,      1,         122,      1,         1.7,      1,       832.3,      1,    359903.6,      1,
00:00:00 01/04/2016,        69.8,      1,        75.9,      1,         4.8,      1,        -5.7,      1,        12.7,      1,        82.2,      1,         135,      1,         1.8,      1,       834.5,      1,    382110.6,      1,Variables:
00:00:00 01/05/2016,       248.0,      1,       236.5,      1,         7.0,      1,        -0.9,      1,        17.0,      1,        84.2,      1,         120,      1,         1.7,      1,       836.4,      1,    460519.3,      1,10 - Pioggia (millimetri)
00:00:00 01/06/2016,       216.2,      1,       221.7,      1,        11.5,      1,         4.2,      1,        23.1,      1,        87.6,      1,         126,      1,         1.6,      1,       839.5,      1,    492754.9,      1,400 - Temperatura aria (gradi Celsius)
00:00:00 01/07/2016,       244.2,      1,       226.4,      1,        14.7,      1,         3.9,      1,        22.3,      1,        85.7,      1,         125,      1,         1.7,      1,       843.4,      1,    571732.9,      1,430 - Umid.relativa aria (percentuale)
00:00:00 01/08/2016,       161.8,      1,       179.5,      1,        13.8,      1,         4.1,      1,        22.2,      1,        84.8,      1,         112,      1,         1.6,      1,       844.8,      1,    579436.1,      1,500 - Direzione vento media (gradi)
00:00:00 01/09/2016,        53.8,      1,        53.8,      1,        11.6,      1,         4.4,      1,        20.0,      1,        86.8,      1,         117,      1,         1.5,      1,       843.9,      1,    404400.5,      1,515 - Veloc. vento media (metri/secondo)
