"Time","T0373","","T0373","","T0373","","T0373","","T0373","","T0373","","T0373","","T0373","","T0373","","T0373",""
"and","10.00","","10.50","","400.00","","400.55","","400.56","","430.00","","500.00","","515.00","","550.00","","750.00",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)","","Umid.relat. aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Total","Qual"
00:00:00 01/06/2018,       103.2,      1,       103.6,      1,        11.7,      1,         4.1,      1,        23.3,      1,        87.6,    145,           6,    145,         0.7,    145,       822.9,      1,    595845.3,    145
00:00:00 01/07/2018,       215.6,      1,       210.1,      1,        13.7,      1,        -3.5,    140,        24.1,      1,        89.3,    145,           0,    145,         0.3,    145,       824.3,      1,    589136.5,    145
00:00:00 01/08/2018,       233.4,      1,       241.2,      1,        13.7,      1,         3.9,      1,        23.9,      1,        90.0,    145,           0,    140,         0.0,    140,       826.1,      1,    497401.1,    145
00:00:00 01/09/2018,        58.2,      1,        55.9,    140,        10.9,      1,         0.3,      1,        21.7,      1,        88.2,    145,           0,    140,         0.0,    140,       827.1,      1,    406429.2,    145
00:00:00 01/10/2018,       394.6,    140,       405.4,    140,         6.8,      1,        -1.9,      1,        18.9,      1,        87.6,    145,         340,    145,         1.3,    145,       823.1,      1,    228081.0,    145
00:00:00 01/11/2018,       180.0,      1,       169.1,      1,         1.5,      1,        -6.3,      1,        12.0,    140,        89.0,    145,         344,    145,         1.2,    145,       820.8,      1,    103889.5,    145
00:00:00 01/12/2018,        13.0,      1,        13.0,      1,        -1.2,      1,       -10.7,    140,         9.5,      1,        63.2,    145,         348,    145,         1.7,    145,       820.8,      1,    124302.7,    145
00:00:00 01/01/2019,        13.2,      1,        17.7,      1,        -4.5,      1,       -12.5,      1,         8.6,      1,        61.5,    145,         352,    145,         1.7,    145,       812.4,      1,    131945.2,    145
00:00:00 01/02/2019,       113.2,      1,       108.6,      1,         0.4,      1,       -10.3,    140,        14.0,      1,        57.1,    145,         350,    145,         1.8,    145,       823.4,      1,    209144.4,    145
00:00:00 01/03/2019,        73.2,      1,        73.2,      1,         1.1,      1,       -10.1,    140,        14.6,    140,        56.9,    145,         358,    145,         1.7,    145,       820.7,      1,    405117.5,    145
