"Time","T0393","","T0393","","T0393","","T0393","","T0393",""
"and","10.00","","10.50","","400.00","","400.55","","400.56",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual"
00:00:00 01/07/2020,       149.0,      1,       149.0,      1,        20.8,      1,        10.9,      1,        34.2,      1
00:00:00 01/08/2020,       167.0,      1,       167.0,      1,        21.0,      1,        11.1,      1,        34.2,      1
00:00:00 01/09/2020,        65.6,      1,        65.6,      1,        17.2,      1,         3.0,      1,        29.5,      1
00:00:00 01/10/2020,       305.8,      1,       305.8,      1,        10.4,      1,         0.1,      1,        20.9,      1
00:00:00 01/11/2020,         7.2,      1,         7.2,      1,         5.6,      1,        -3.7,      1,        18.7,      1
00:00:00 01/12/2020,       279.4,      1,       279.4,      1,         2.8,      1,        -8.1,      1,        10.3,      1
00:00:00 01/01/2021,       164.8,      1,       164.8,      1,         0.0,      1,        -9.3,      1,         9.5,      1
00:00:00 01/02/2021,        51.8,      1,        51.8,      1,         4.9,      1,        -7.0,      1,        21.1,      1
00:00:00 01/03/2021,         6.8,      1,         6.8,      1,         6.6,      1,        -4.0,      1,        26.0,      1
00:00:00 01/04/2021,       111.2,      1,       107.3,      1,         9.6,      1,        -4.4,      1,        26.0,    140
00:00:00 01/05/2021,       162.4,      1,       166.3,      1,        13.5,      1,         3.8,      1,        25.5,    140
00:00:00 01/06/2021,        17.2,      1,        16.3,      1,        21.1,      1,        10.0,      1,        33.5,      1
00:00:00 01/07/2021,       168.6,      1,       168.2,      1,        21.0,      1,        11.7,      1,        32.1,      1
00:00:00 01/08/2021,        70.8,      1,        71.9,      1,        19.8,      1,         8.2,      1,        33.3,      1
00:00:00 01/09/2021,        91.4,      1,        91.5,      1,        17.7,      1,         7.9,      1,        30.3,    140
00:00:00 01/10/2021,       115.2,      1,       115.2,      1,        10.5,      1,         0.3,      1,        22.1,      1
00:00:00 01/11/2021,       174.2,      1,       174.2,      1,         6.3,      1,        -3.7,      1,        16.4,      1
00:00:00 01/12/2021,         9.0,      1,         9.0,      1,         1.1,      1,        -5.5,      1,        13.0,      1
